"citizen","agedef","age","unit","sex","geo","time","values"
"UK","COMPLET","Y25-29","NR","F","FI",2019-01-01,7
"UK","COMPLET","Y25-29","NR","F","IE",2019-01-01,2
"UK","COMPLET","Y25-29","NR","F","IS",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","LI",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","LT",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","LU",2019-01-01,15
"UK","COMPLET","Y25-29","NR","F","MT",2019-01-01,4
"UK","COMPLET","Y25-29","NR","F","NO",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","PL",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","PT",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","SE",2019-01-01,71
"UK","COMPLET","Y25-29","NR","F","SI",2019-01-01,0
"UK","COMPLET","Y25-29","NR","F","UK",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","AT",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","BE",2019-01-01,25
"UK","COMPLET","Y25-29","NR","M","BG",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","DE",2019-01-01,180
"UK","COMPLET","Y25-29","NR","M","ES",2019-01-01,1
"UK","COMPLET","Y25-29","NR","M","FI",2019-01-01,4
"UK","COMPLET","Y25-29","NR","M","IE",2019-01-01,5
"UK","COMPLET","Y25-29","NR","M","IS",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","LI",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","LT",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","LU",2019-01-01,9
"UK","COMPLET","Y25-29","NR","M","MT",2019-01-01,2
"UK","COMPLET","Y25-29","NR","M","NO",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","PL",2019-01-01,1
"UK","COMPLET","Y25-29","NR","M","PT",2019-01-01,1
"UK","COMPLET","Y25-29","NR","M","SE",2019-01-01,121
"UK","COMPLET","Y25-29","NR","M","SI",2019-01-01,0
"UK","COMPLET","Y25-29","NR","M","UK",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","AT",2019-01-01,1
"UK","COMPLET","Y25-29","NR","T","BE",2019-01-01,50
"UK","COMPLET","Y25-29","NR","T","BG",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","DE",2019-01-01,355
"UK","COMPLET","Y25-29","NR","T","ES",2019-01-01,3
"UK","COMPLET","Y25-29","NR","T","FI",2019-01-01,11
"UK","COMPLET","Y25-29","NR","T","IE",2019-01-01,7
"UK","COMPLET","Y25-29","NR","T","IS",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","LI",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","LT",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","LU",2019-01-01,24
"UK","COMPLET","Y25-29","NR","T","MT",2019-01-01,6
"UK","COMPLET","Y25-29","NR","T","NO",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","PL",2019-01-01,1
"UK","COMPLET","Y25-29","NR","T","PT",2019-01-01,1
"UK","COMPLET","Y25-29","NR","T","SE",2019-01-01,192
"UK","COMPLET","Y25-29","NR","T","SI",2019-01-01,0
"UK","COMPLET","Y25-29","NR","T","UK",2019-01-01,0
"UK","COMPLET","Y30-34","NR","F","AT",2019-01-01,1
"UK","COMPLET","Y30-34","NR","F","BE",2019-01-01,30
"UK","COMPLET","Y30-34","NR","F","BG",2019-01-01,0
"UK","COMPLET","Y30-34","NR","F","DE",2019-01-01,295
"UK","COMPLET","Y30-34","NR","F","ES",2019-01-01,0
